nama_media,jenis_media,penanggung_jawab,pemimpin_redaksi,badan_hukum,provinsi,alamat,telp,email,website,status,tanggal
Nawacitapost.com,Siber,Ariful Hakim,Ariful Hakim,Media Nawacita Indonesia,Jawa Barat,"Ruko Duta Permai Rhema Building, Lt. 3 No. 2 Jl. Raya Kalimalang, Jaka Permai, Bekasi Jawa Barat 17145 Indonesia.",021 - 89469011,nawacitamedia@yahoo.com,www.nawacitapost.com,Terverifikasi Administratif dan Faktual,2020-11-20
tribunjogja.com,Siber,Ribut Raharjo,Ribut Raharjo,Media Tribun Yogya,DI Yogyakarta,"Jl. Jend. Sudirman No.52 A, Kotabaru, Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",0274557687,tribunjogjadigital@gmail.com,jogja.tribunnews.com,Terverifikasi Administratif dan Faktual,2020-11-20
biem.co,Siber,Ega Jalaludin,Ega Jalaludin,Banten Muda Kreasindo,Banten,Komplek KPKN Jl. Karya Bhakti 2A no. 99 Ciceri Kota Serang,0813-8033-3400/02547924330,redaksibiem@gmail.com,www.biem.co,Terverifikasi Administratif dan Faktual,2020-11-20
satubanten.com,Siber,Mohamad Hopip,Mohamad Hopip,BANTENESIA BERITA UTAMA,Banten,"Lingk. Cengkok Rt. 005/003, Kel, Banjaragung, Kec. Cipocok Jaya, Kota Serang, Banten 42122",082169120887,koransatubanten@gmail.com,www.satubanten.com,Terverifikasi Administratif dan Faktual,2020-11-20
Koran Mimbar Umum,Cetak,Jalaluddin,Jalaluddin,Koran Mimbar Umum,Sumatera Utara,"Kompleks Grand Denai No. 185 L, Jl. Denai, Tegalsari Mandala II, Kecamatan Medan Denai",7330737,rinla_gusti@yahoo.com,www.mimbarurumum.co.id,Terverifikasi Administratif dan Faktual,2020-11-20
inimedan.com,Siber,A R I A D I,A R I A D I,MEDIA KELUARGA MANDIRI,Sumatera Utara,Jln.Marelan I Pasar IV Barat Kelurahan Terjun No.10 Lk-VII Medan Marelan-20256,061.80027612,inimedancom@gmail.com,www.inimedan.com,Terverifikasi Administratif dan Faktual,2020-11-20
Urbanasia.com,Siber,Ken Yunita,Ken Yunita,KAI Trimedia Investama,DKI Jakarta,"Menara Batavia Lt. 12A Jl. K.H. Mas Mansyur No. Kav. 126, Karet Tengsin, Kec. Tanah Abang",(021) 5722354,admin@urbanasia.com,www.urbanasia.com,Terverifikasi Administratif dan Faktual,2020-11-20
Radar Pekalongan,Cetak,Ade Asep Syarifuddin,Ade Asep Syarifuddin,Wahana Semesta Pekalongan,Jawa Tengah,Jl Binagriya Raya B. 1 No 9 Kelurahan Bumirejo Kecamatan Pekalongan Barat Kota Pekalongan,432234,r4d4rpek4long4n@gmail.com,www.radarpekalongan.co.id,Terverifikasi Administratif dan Faktual,2020-11-20
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
persepsi.co.id,Siber,Moh.Hopip,Moh.Hopip,Persepsi Karya Cipta,Banten,"Jl.Kalodran Lipatik, Kelurahan Pageragung, Kecamatan Walantaka, Kota Serang Banten",02547915353,persepsiredaksi@gmail.com,www.persepsi.co.id,Terverifikasi Administratif dan Faktual,2020-11-20
radarsolo.id,Siber,NUR WAHID,NUR WAHID,Surakarta Intermedia Pers,Jawa Tengah,"Jl. Kebangkitan Nasional No.37 Sriwedari, Laweyan",0271 - 7653106,radarsolo@gmail.com,radarsolo.id,Terverifikasi Administratif dan Faktual,2020-11-20
Radar Sumbawa,Cetak,Rudi hidayat,Rudi hidayat,Tambora media pratama,Nusa Tenggara Barat,Jln by pass km 3 karang dima kec.labuan sumbawa,085239215344,Radarsumbawa03@gmail.com,radarsumbawa.id,Terverifikasi Administratif,2020-11-20
beritaini.com,Siber,Imran Jafar,Imran Jafar,Beritaini Media Internusa,Sulawesi Barat,"Jl. Abd Malik Pettana Endeng, RT 05, Lingkungan Korongana, Puri Mutiara II Blok A5 No. 10",085210996066,beritaini.com@gmail.com,https://beritaini.com,Terverifikasi Administratif,2020-11-18
Mediator,Cetak,TASMAN,TASMAN,Mediator Jambi Intermedia,Jambi,Jl. H.M.O Bafadhal No 41 Rt.02 Kel.Cempaka Putih Kec. Jelutung Kota Jambi,+6285832077949,skh.mediator@yahoo.com,https://www.mediatorjambi.com/,Terverifikasi Administratif,2020-11-18
detakbanten.com,Siber,AHMAD EKO NURSANTO,AHMAD EKO NURSANTO,PENAMAS CIPTA MANDIRI,Banten,Puri PamulangJalan Matahari V Blok H-2 No. 16 Kel. Bambu ApusKec. Pamulang,081287071898,redaksi.detakbanten@gmail.com,www.detakbanten.com,Terverifikasi Administratif dan Faktual,2020-11-18
beritasatu.com,Siber,Primus Dorimulu,Anselmus Bata,Jakarta Globe Media,DKI Jakarta,BeritaSatu Plaza Jalan Gatot Subroto Kav 35-36,0811-988-763,anselmusbata@gmail.com,beritasatu.com,Terverifikasi Administratif dan Faktual,2020-11-18
suararantau.com,Siber,DEFRI MULYADI,DEFRI MULYADI,Suara Rantau Mandiri,Sumatera Barat,Jln juanda no 06 rimbo kaluang kec. padang barat,0813 74808982,suarantau@gmail.com,www.suararantau.com,Terverifikasi Administratif,2020-11-18
Disway Berau Kaltara,Cetak,Arie Pramana Putra,Arie Pramana Putra,DUTA KALIMANTAN PRESS,Kalimantan Timur,"Jl. Durian III, RT 07, Kecamatan Tanjung Redeb",081350385307  /  0811581969,Diswayberaukaltara@gmail.com,,Terverifikasi Administratif,2020-11-10
luarbiasa.id,Siber,Martunas Situmeang,Martunas Situmeang,Bintana Terbaru Media,Kepulauan Riau,Komplek Pinlang Mas No.15-16 Lt 1-2-3 JL.DI Panjaitan-Batu IX Tanjungpinang,+62 852-6405-0123,bintanatmedia@gmail.com,https://luarbiasa.id/,Terverifikasi Administratif,2020-11-10
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Harian Jambi Independent,Cetak,Munawir MH,Munawir MH,PT. Jambi Independent Press,Jambi,Graha Pena Jambi. Jl. Jendral Sudirman No 100 Thehok Kota Jambi,(0741) 35272,jambi_independent_cetak@gmail.com,,Terverifikasi Administratif,2020-11-08
ceknricek.com,Siber,Ilham Bintang,Ariful Hakim,PT Bintang Angkasa Berjaya,DKI Jakarta,"Jalan H. Saaba No.40 Meruya Selatan, Kembangan, Jakarta Barat 11650",02158570781,ekoyuswantomail@yahoo.co.id,https://ceknricek.com,Terverifikasi Administratif dan Faktual,2020-10-23
waspada.co.id,Siber,Tribuana Said,Tribuana Said,Waspada Online,Sumatera Utara,Jl Brigjen Katamso / Letjen Suprapto no. 1,0819611101,waspadaonlinetim@gmail.com / redaksi@waspada.co.id,www.waspada.co.id,Terverifikasi Administratif dan Faktual,2020-10-20
Harian Umum Warta Bali,Cetak,IGMB Dwikora Putra,IGMB Dwikora Putra,Warta Bali Utama,Bali,JALAN KEPUNDUNG No 61 B DENPASAR 80232,03614458999,admwartabali@yahoo.com,"wartabali@gmail.com , admwartabali@yahoo.com",Terverifikasi Administratif dan Faktual,2020-10-20
koran sempena,Cetak,P.Arianto Pandiangan,P.Arianto Pandiangan,SEMPENA JAYA PERS,Kepulauan Riau,Jl.DI Panjaitan Km.IX Blok C no 50 Komp.Bintan Center,081270077783,ariantopandi77@gmail.com,sempenanews@yahoo.com,Terverifikasi Administratif dan Faktual,2020-10-20
intipos.com,Siber,Zulfikar Tanjung,Zulfikar Tanjung,INTI KARTIKA JAYA,Sumatera Utara,Jalan Intertip No.15 Pulo Brayan Darat II Medan Timur,061-80086969,intiposmedia@gmail.com,www.intipos.com,Terverifikasi Administratif dan Faktual,2020-10-20
Radar Bojonegoro,Cetak,Khorij Zaenal Assrori,Khorij Zaenal Assrori,Bojonegoro Intermedia Pers,Jawa Timur,Jalan Ahmad Yani 39 Bojonegoro,0353892000,radar_bj@yahoo.com,www.radarbojonegoro.jawapos.com,Terverifikasi Administratif dan Faktual,2020-10-20
Progres.id,Siber,Mukhtar Amin,Mukhtar Amin,Progres Siber Media,Bengkulu,"Jl. Kroya, Dusun IV Desa Taba Tebelet Kecamatan Kepahiang",081226287779,redaksi@progres.id,www.progres.id,Terverifikasi Administratif dan Faktual,2020-10-16
agtvnews.com,Siber,Danang Sumirat,Danang Sumirat,Anggada Multimedia Sejahtera,Jawa Timur,Jalan Singonegaran Tengah No 79,081335331166,agtvnews@gmail.com,https://agtvnews.com,Terverifikasi Administratif dan Faktual,2020-10-16
Lintas Nusantara,Cetak,Sukarjito,Sukarjito,Nusantara Anugerah Abadi,Jawa Timur,"Keputran Kejambon II / 90c , Kec Genteng Kel Embong Kaliasin",085648661374/082234000310,nusantara.news31@yahoo.co.id,-,Terverifikasi Administratif,2020-10-12
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Suarakahayannews.com,Siber,Suratman,Suratman,Kalimantan Global Media,Kalimantan Tengah,Jalan Panunjung Tarung RT. 8 Kelurahan Pulang Pisau Kec. Kahayan Hilir,0811 50 4141 - 0851 7233 6761,redaksi.suarakahayan@gmail.com,suarakahayannews.com,Terverifikasi Administratif,2020-10-12
indovizka.com,Siber,Amril Jambak,Amril Jambak,Indo Vizka Nusantara,Riau,Jl. Raja Ali Haji Lorong Tirta 2 No. 9 Kelurahan Sungai Beringin Kecamatan Tembilahan-Inhil,081371419982,indovizka@gmail.com,indovizka.com,Terverifikasi Administratif,2020-10-05
Tanamonews.com,Siber,ROBBY OCTORA ROMANZA,ROBBY OCTORA ROMANZA,PT TANAMO MEDIA INTER PERS,Sumatera Barat,"Jl. Bawah Bungo No. 17 RT/RW. 01/12 Kel. Alai Parak Kopi, Kec. Padang Utara Padang City - West Sumatera 25139",082288352424,redaksitanamonews@gmail.com,www.tanamonews.com,Terverifikasi Administratif,2020-10-05
Siberone.com,Siber,Safari Al Royyan,Safari Al Royyan,Media Sentral Informasi,Riau,"JL. Trimas, Kelurahan Tembilahan Kota, Kecamatan Tembilahan",085264792283,redaksisiberone@gmail.com,www.siberone.com,Terverifikasi Administratif,2020-10-05
Terkini.id,Siber,Muhammad Yunus,Muhammad Yunus,Makassar Indomedia,Sulawesi Selatan,Jalan Letjend Mappaodang No.8,04118112525 / 0811461183,redaksi@terkini.id,https://terkini.id,Terverifikasi Administratif,2020-10-05
carapandang.com,Siber,Yayan Sopyani,Yayan Sopyani,Lintang Kreasindo Media,DKI Jakarta,Jl. Tebet Dalam IV No 7B Tebet Jakarta Selatan,(021) 21383521,carapandangcom@gmail.com,https://carapandang.com/,Terverifikasi Administratif dan Faktual,2020-09-29
Harian Terbit,Cetak,Zamzam Siregar,Zamzam Siregar,Astri Cahaya Gemilang,DKI Jakarta,"Jalan Kav. BRI No.3 E, RT3/RW4, Meruya Utara, Kembangan, Jakarta Barat 11620",081223452065,hanter.online@gmail.com,www.harianterbit.com,Terverifikasi Administratif dan Faktual,2020-09-29
afederasi.com,Siber,M. Aminun Jabir,M. Aminun Jabir,PT.GLOBAL MEDIA EXPRESS,Jawa Timur,Jalan Iswayudi No. 23 Ringinpitu - Kedungwaru - Tulungagung - Jawa Timur,0355 7624352,redaksiafederasi@gmail.com,www.afederasi.com,Terverifikasi Administratif dan Faktual,2020-09-29
harianterbit.com,Siber,H. ALI AKBAR SOLEMAN,H. ALI AKBAR SOLEMAN,PT. ASTRI CAHAYA GEMILANG,DKI Jakarta,"Jl. Duri Raya No.64 B, Rt.006/Rw.01, Duri Kepa, Kebon Jeruk",021-5683948,media.harianterbit@gmail.com,www.harianterbit.com,Terverifikasi Administratif dan Faktual,2020-09-29
www.berandang.com,Siber,Evan Trijasa,EVAN TRIJASA,PT. ZEO PERKASA MEDIA,Bengkulu,JLN. MAHONI PERUM PONDOK KHARISMA BLOK. J.23 BUMI AYU SELEBAR KOTA BENGKULU,07365513087,evantrijasa13@gmail.com,www.berandang.com,Terverifikasi Administratif dan Faktual,2020-09-29
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
koranmemo.com,Siber,ACHMAD SAICHU,ACHMAD SAICHU,PT EXPRESS MEDIA SEJAHTERA,Jawa Timur,Jln. Tosaren II No. 145 Kelurahan Tosaren Kecamatan Pesantren Kota Kediri,(0354) 4520153,websitememo2@gmail.com,www.koranmemo.com,Terverifikasi Administratif dan Faktual,2020-09-29
Koran Kabar Bengkulu,Cetak,Leonardo Ferdian,Leonardo Ferdian,Nur Hidayah Bersaudara Bengkulu,Bengkulu,Jln. Raya Air Sebakul Perumahan Grand Vaganza Estate Blok A Nomor 31 RT.026 RW.004,085382830605,kabarbengkulu2020@gmail.com,,Terverifikasi Administratif dan Faktual,2020-09-29
SRIWIJAYA TIMES,Cetak,BAGUS MIHARGO,BAGUS MIHARGO,PT. RAFLY MEDIA GRAFIKA,Sumatera Selatan,JALAN SERMA ZAKARIA NO. 58 BATURAJA,0812-71563344,yuven_prusmart@yahoo.co.id,,Terverifikasi Administratif,2020-09-23
www.porospro.com,Siber,CIPTO SETYAWAN,CIPTO SETYAWAN,PT. POROSPRO MEDIA GRAHA,Riau,JALAN SEDERHANA GANG BELIMBING,082389169933,redaksiporospro@gmail.com,www.porospro.com,Terverifikasi Administratif,2020-09-23
realitamedia.com,Siber,Patar Simanjuntak,Patar Simanjuntak,Info Lingga Sejahtera,Kepulauan Riau,"Perumahan Buana Point Blok A No.5  Kel. Sungai Langkai, Kec. Sagulung, Kota Batam",082268925436,realitamedia@yahoo.com,www.realitamedia.com,Terverifikasi Administratif,2020-09-23
regalianews.com,Siber,P.Arianto Pandiangan,P.Arianto Pandiangan,Muslim.SH,Kepulauan Riau,"Kantor Redaksi dan Pemasaran :Jalan R.H.Fisabillah,gg.Sidomulyo II,No.39
Kelurahan Sungai Jang,Kecamatan Bukit Bestari,Kota Tanjungpinang,Tel /Fax : 0771 
 - 4444 220/Hp : 0812 - 70777 999,Email abdullahmustafa194@gmail.com, Tanjungpinang,Kepulauanriau.",+6285835603599 / +628127077799,abdullahmustafa194@gmail.com,regalianews.com,Terverifikasi Administratif,2020-06-19
Ampera.co,Siber,"Siera Syailendra, SE, M.Si","Siera Syailendra, SE, M.Si",AMPERA VISI INDONESIA,Sumatera Selatan,"Jl. Raya Kencana (Kawasan Kenten City), Komp. Kencana Damai Blok AM No. 4, RT. 060, RW. 010, Kel. Sukamaju, Kec. Sako - PALEMBANG, Sumatera Selatan",0811-7111-833,ampera.co@gmail.com,www.ampera.co,Terverifikasi Administratif,2020-06-19
Surat Kabar Harian Mata Banua,Cetak,ZAINAL HELMIE,ZAINAL HELMIE,PT Cahaya Media Utama,Kalimantan Selatan,Jl. Brigjen TNI H Hasan Basry No.27 RT.16 Kayu Tangi. Banjarmasin Kodepos 70125,(0511-6740293) (085108362222),iklan.matabanua@yahoo.com,www.matabanua.co.id,Terverifikasi Administratif dan Faktual,2020-06-12
Kilasriau.Com,Siber,Safari Al Royyan Syapruddin,Safari Al Royyan Syapruddin,Media Sumber Indah Riau,Riau,"JJalan trimas Lr. Trimas permai Kec. Tembilahan Kabupaten Indragiri Hilir, Riau - Indonesia.",085272115650,kilasriau08@gmail.com,http://www.kilasriau.com/,Terverifikasi Administratif,2020-06-05
www.publiksatu.co,Siber,Irwansyah Amunu,Irwansyah Amunu,PT Media Online Publiksatu Com,Sulawesi Tenggara,"Jl, Sipanjonga No. 29 Kota Baubau, Provinsi Sulawesi Tenggara",08114007434,officepubliksatu.co,www.publiksatu.co,Terverifikasi Administratif,2020-06-05
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
gelagatsumsel.net,Siber,Zainal Piliang,Zainal Piliang,Vesja Bersaudara Multimedia,Sumatera Selatan,"Jl Mayor Tjik Agus Kiemas, Kepur Kawasan Islamic Center Muara Enim, Sumatera Selatan",085382476592,redaksigsnet@gmail.com,www.gelagatsumsel.net,Terverifikasi Administratif,2020-05-29
teropongsenayan.com,Siber,Aries Kelana,Aries Kelana,PT. Entitas System Indonesia,DKI Jakarta,"Komplek Perkantoran Golden Centrum Jalan Majapahit No.26 Blok Q Lantai 2
Gambir, Jakarta Pusat, Indonesia",021-21203261,entitassystem@gmail.com,https://www.teropongsenayan.com,Terverifikasi Administratif dan Faktual,2020-05-20
VISI.NEWS,Siber,TENDY K SOMANTRI,TENDY K SOMANTRI,PT. VISI DIGITAL INTERNASIONAL,Jawa Barat,"Jln. Raya Laswi Baleendah, Kab. Bandung 40375 Telp.  (022) 85942916 Fax.  (022) 85942916",02285942916,aepsabdullah@gmail.com,VISI.NEWS,Terverifikasi Administratif dan Faktual,2020-05-13
FaktualNews.co,Siber,Adi Susanto,Adi Susanto,Susanto Bersaudara Intermedia Pers,Jawa Timur,"Jombang Citra Raya Blok E1 No.13,Jl. Prof. M. Yamin, Pandanwangi, Kec. Diwek, Kab. Jombang, Jawa Timur, 61471",03218493189,redaksi@faktualnews.co,https://faktualnews.co,Terverifikasi Administratif dan Faktual,2020-05-12
Kabardaerah.com,Siber,Ikhlas Darma Murya,Ikhlas Darma Murya,PT KABAR DAERAH INDOMEDIA,Sumatera Barat,"Jalan Kampung Kalawi, Gang Bali No. 6D, RT 003/RW 003, Kel. Lubuk Lintah, Kec. Kuranji, Kota Padang, Provinsi Sumatera Barat",(0751) 8952883,mediakabardaerah@gmail.com,www.kabardaerah.com,Terverifikasi Administratif dan Faktual,2020-05-04
dara.co.id (daulatrakyat),Siber,Rahmat Sudarmaji,Rahmat Sudarmaji,DAULAT RAKYAT INDONESIA,Jawa Barat,"Jl. Terusan Kopo No. 241, Km 13,4 Katapang Soreang Kabupaten Bandung, Jawa Barat, 40971",022-58991151,redaksidara@gmail.com,https://www.dara.co.id,Terverifikasi Administratif dan Faktual,2020-05-04
terabasnews.com,Siber,HM. AMIN SOELTHON,HM AMIN SOELTHON,TERABAS PERSINDO PERKASA,Kepulauan Bangka Belitung,JL Delima 1 no 276 Rt 04/02 Taman bungan gerunggang,081377700855,tryhardi21@gmail.com,www.terabasnews.com,Terverifikasi Administratif dan Faktual,2020-05-04
idnpro.co,Siber,Abbas Abdurrahman,Abbas Abdurrahman,BATAM MEDIA KREATIF,Kepulauan Riau,"Town House Nicco Residence Blok B1 No. 09 Jl. Raja H. Fisabilillah, Sadai, Batam, Kepulauan Riau 29432 
idn.pro@yahoo.com",0811 7515659,idn.pro@yahoo.com,www.idnpro.co,Terverifikasi Administratif,2020-05-04
tagar.id,Siber,Fetra Christianos Tumanggor,Fetra Christianos Tumanggor,PT Tagar Hexa Utama,DKI Jakarta,"Jalan Cawang Baru Utara Nomor 25, Cipinang Cempedak, Jatinegara, Jakarta Timur",021-22805631,fetratumanggor@gmail.com,www.tagar.id,Terverifikasi Administratif dan Faktual,2020-04-24
langgam.id,Siber,Hendra Makmur,Hendra Makmur,PT Langgam Media Siber,Sumatera Barat,"Komplek Cendana Andalas Jalan Beo  No 1 RT 02 RW 01, Kelurahan Andalas Kecamatan Padang Timur, Kota Padang, Sumatera Barat.",08116615010,langgamid@gmail.com,langgam.id,Terverifikasi Administratif dan Faktual,2020-04-20
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
klikinfokota.co.id,Siber,Morina Riau,Morina Riau,Azka Jaya Media,Kepulauan Riau,"Jl. Pompa Air No. 7 KM 2, Tanjungpinang",085945821793,redaksi.klikinfokota@gmail.com,klikinfokota.co.id,Terverifikasi Administratif,2020-04-20
SKU Sriwijaya ekspres,Cetak,Aan Sartana,Aan Sartana,PT. SRIWIJAYA EKSPRESS INDONESIA,Sumatera Selatan,Jl Sido Ing Kenayan Rt 16 Rw 6 Kel Karang Anyar Kec Gandus Palembang,0823-77933388,sriwijayaekspress@gmail.com,,Terverifikasi Administratif dan Faktual,2020-04-20
Brata Pos Media,Cetak,Zaibi susanto,Zaibi susanto,Brata Pos Media,Jawa Timur,Perum Benowo Trade Center Blok b No 26 Kecamatan Menganti Kabupaten Gresik,03199164103,redaksibratapos@gmail.com,bratapos.com,Terverifikasi Administratif,2020-04-14
mediakendari.com,Siber,La Ode Adnan Irham,La Ode Adnan Irham,PT. Mediatama Group,Sulawesi Tenggara,"Jl. Kakatua Nomor 66 Benu Benua, Kecamatan Kendari Barat, Kendari, Sulawesi Tenggara..
Wa. (+62) 821 9050 5583 – (+62) 0852 1300 0785
Penerbit : PT. KENDARI MEDIATAMA GROUP
Email : office@mediakendari.com",(0401) 3419819,office@mediakendari.com,https://mediakendari.com,Terverifikasi Administratif dan Faktual,2020-04-03
rubriksultra.com,Siber,Yos Hasrul,Yos Hasrul,PT Kumparan Sultra Alva Media,Sulawesi Tenggara,Jl. Perintis No.37 Kel. Katobengke Kec. Betoambari Baubau Sulawesi Tenggara,(0402) 2813303,redaksi.kumparansultra@gmail.com,www.rubriksultra.com,Terverifikasi Administratif dan Faktual,2020-04-03
Infoinhil.com,Siber,Uparlin TS. Maharadja,Uparlin TS. Maharadja,PT MEDIA GEMILANG INDRAGIRI,Riau,"HOTEL ARRAHMAN 2
Jl. Suntung Ardi (Malagas)",082388880008,infoinhil@gmail.com,www.infoinhil.com,Terverifikasi Administratif,2020-03-31
Jawa Pos Radar Banyuwangi,Cetak,Syaifuddin Mahmud,Syaifuddin Mahmud,Banyuwangi intermedia pers,Jawa Timur,"Jl. Brawijaya Nomor 77, RT 2/RW 3 , Kelurahan Kebalenan, Kecamatan  Banyuwangi",0333412224,beritaraba@gmail.com,radarbanyuwangi.jawapos.com,Terverifikasi Administratif dan Faktual,2020-03-31
Padangkita.com,Siber,Montosori,Montosori,PT. Padangkita Multimedia Pers,Sumatera Barat,"Jalan Alai Timur II No. 7 Padang, Sumatera Barat",+62751 8959363,redaksi@padangkita.com,www.padangkita.com,Terverifikasi Administratif dan Faktual,2020-03-31
HARIAN UMUM KORAN PADANG,Cetak,YUNAIDI JARAT,YUNAIDI JARAT,PT SURAT KABAR HARIAN UMUM KORAN PADANG,Sumatera Barat,"Jl. Delima No.10 Kelurahan Ujung Gurun, Kecamatan Padang Barat, Provinsi Sumatera Barat.",07518951431,hariankoranpadang@gmail.com,koranpadang.com,Terverifikasi Administratif dan Faktual,2020-03-31
harianhaluan.com,Siber,Zul Effendi,Zul Effendi,HALUAN CYBER MEDIA,Sumatera Barat,"KOMPLEK BANDARA TABING LANUD, PARUPUK TABING, KOTO TANGAH",0751 4488702,haluancybermedia@gmail.com,www.harianhaluan.com,Terverifikasi Administratif dan Faktual,2020-03-31
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Bidik Nasional,Cetak,Edy Sutanto,Edy Sutanto,Bidik Nasional Pers,Jawa Timur,"Jl Ikan Lele 2 Blok Ci- No 14, RT 07/RW 11, Perum Bluru Permai, Kel Bluru Kidul, Kec Kota Sidoarjo, Kab Sidoarjo, Jatim Kode Pos 61233",031-99728729/08123209649,bidiknasional2@gmail.com,https://bidiknasional.com,Terverifikasi Administratif,2020-03-31
bidiknasional.com,Siber,Edy Sutanto,Edy Sutanto,PT Bidik Nasional Pers,Jawa Timur,"Kantor Operasional: Jl Tunjungan 86-88 Lt - 1 No 28 , Kelurahan Genteng, Kec Genteng , Kota Surabaya Kode Pos 60275Kantor Pusat: Jl Ikan Lele 2 Blok Ci-No 14, Perum Bluru Permai, Kelurahan Bluru Kidul, Kec Kota Sidoarjo, Kab Sidoarjo, Jatim Kode Pos 61233",031-99728729/08123209649,bidiknasional1@gmail.com,https://bidiknasional.com,Terverifikasi Administratif,2020-03-31
makassar.terkini.id,Siber,,,PT,Sulawesi Selatan,"Jalan Mappaodang No.8, Makassar 90241",0411 -8112525,info@makassarterkini.com,www.makassar.terkini.id/,Terverifikasi Administrasi dan Faktual,2020-03-30
Tabloid Bisnis Sulawesi,Cetak,"I Ketut Bali Putra Ariawan, ST","I Ketut Bali Putra Ariawan, ST",Bisnis Sulawesi Pos,Sulawesi Selatan,Perum Akasia Blok C2/22,0811 4448 220,info@bisnissulawesi.com,http://bisnissulawesi.com/,Terverifikasi Administratif,2020-03-18
lontar.id,Siber,Rahmat Hardiansya,Rahmat Hardiansya,Lontar Media Nusantara,DKI Jakarta,"Jalan Sawo IV, Nomor 28, Kelurahan Manggarai Selatan, Kecamatan Tebet",02122901880,redaksi@lontar.id/lontarid@gmail.com,lontar.id,Terverifikasi Administratif,2020-03-18
Radar Bromo,Cetak,Muhammad Fahmi,Muhammad Fahmi,PT. Probolinggo Intermedia Pers,Jawa Timur,"Jl. Soekarno Hatta No. 98 RT. 009 RW. 002 Kelurahan Pilang, Kecamatan Kademangan, Kota Probolinggo",0335429555,jawapos.radarbromo@gmail.com,www.radarbromo.co.id dan www.radarbromo.jawapos.com,Terverifikasi Administratif dan Faktual,2020-03-13
iNews.id,Siber,Masirom,Masirom,pt,DKI Jakarta,Jl. Kebon Sirih No. 17-19 Jakarta Pusat 10340 Indonesia.,021 - 23567600,nasional.inews@gmail.com,iNews.id,Terverifikasi Administrasi dan Faktual,2020-03-13
suryakepri.com,Siber,B Richard H Nainggolan,B Richard H Nainggolan,PT. SURYA KEPRI INTERMEDIA,Kepulauan Riau,"KOMPLEK RUKO TRI NUSA JAYA BLOK A NO.1 BATAM CENTER, KEPULAUAN RIAU",0778-4162688,redaksi@suryakepri.com,suryakepri.com,Terverifikasi Administratif,2020-03-12
Pelita Sriwijaya,Cetak,"Deby Arianto, SH","Debi Arianto, SH",pers rakyat sriwijaya,Sumatera Selatan,"Perumahan Jatimas Jl. Masjid Blok A No. 2 RT. 12 RW 03 Kel. Talang Jambe, Sukarami Kota Palembang",0852-68429749,koranpelitasriwijaya@gmail.com,,Terverifikasi Administratif,2020-03-12
thejambitimes.com,Siber,FAJAR KURNIAWAN,FAJAR KURNIAWAN,PT.PUSAT PENERANGAN TERKINI,Jambi,JALAN PENERANGAN PERUM PANORAMA SAKURA ASRI BLOK T NO.52 KELURAHAN KENALI BESAR KECAMATAN ALAM BARAJO KOTA JAMBI,0741-3051165,jambitimes@yahoo.co.id,www.thejambitimes.com,Terverifikasi Administratif,2020-03-12
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Anantanews.com,Siber,Benny Benardie,Benny Benardie,Dwi Sanga Guna,Bengkulu,Jl. RE Marta dinata Perum telaga dewa asri Block F RT 03 RW 01,081368272411,anantanews.com@gmail.com,https://www.anantanews.com/,Terverifikasi Administratif,2020-03-12
Majalah kirana,Cetak,TEGUH LULUS RAHMADI,TEGUH LULUS RAHMADI,PT. CAHAYA AURA KASIH,Jawa Timur,Jl.Taman Apsari 15 - 17 Lt.II Surabaya,031 - 5320973,kiranapress@gmail.com,kirananet.com,Terverifikasi Administratif,2020-03-11
www.bangunpiaman.com,Siber,Ikhlas Bakri,Ikhlas Bakri,PT.Bangun Piaman Mediatama,Sumatera Barat,"Jln.Koto Mambang-Tandikat, Km 01, Korong Kampuang Tangah  Nagari Kampuang Tanjuang Koto Mambang Sungai Durian Kecamatan Patamuan Kabupaten Padang Pariaman",085274059081,gandoriah2016@gmail.com,www.bangunpiaman.com,Terverifikasi Administratif,2020-03-06
suaralira.com,Siber,Alzamret Malik,Alzamret Malik,Enovo Ekia Afifarria,Riau,"Jl. Tuanku Tambusai Blok CNN No.11B, Payung Sekaki Kota Pekanbaru - Riau",0811752209,suaralira@gmail.com,www.suaralira.com,Terverifikasi Administratif,2020-03-06
Majalah Warta Rakyat,Cetak,Dewi Hartatik,Dewi Hartatik,Warta Multi Media,Kepulauan Riau,"Jl. WR. Supratman, Ruko Graha Indonusa Permai Blok C No. 18",081364112133 / 08127078560,pt.wartamultimedia@yahoo.com,www.wartarakyat.co.id,Terverifikasi Administratif,2020-03-06
Koran Indo Merdeka,Cetak,Firwanto M Isa,"Firwanto M Isa, S.Hum",Kita Media Berdikari,Sumatera Selatan,Jalan Pertanian No 75 Rt 029 Rw 05 Kel. Talang Jambe Kec.Sukarami Palembang,081373753973,kitamediaberdikari@gmail.com,indomerdeka.com,Terverifikasi Administratif,2020-03-06
